Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Renault,MASCOTT,84 870 PLN,Łuszczów Pierwszy,Lubelskie,Niski przebieg,2005,3 000 cm3,150 000 km
MAN,TGM 18.290 BL 4x2 HDS HMF 1320 K2 żuraw kran żuraw samochodowy crane,168 756 EUR,Krzeszowice,Małopolskie,2022,2 km,2022,Diesel
Mercedes-Benz,AXOR G18.29 NL 4x2  hds HMF 1320K1 crane kran żuraw dźwig,467 400 PLN,Krzeszowice,Małopolskie,2012,180 616 km,Diesel,6 374 cm3
MAN,TGL 12.220 BL 4x2 HDS HMF 810 K1 żuraw kran żuraw samochodowy crane,131 487 EUR,Krzeszowice,Małopolskie,2022,2 km,2022,Diesel
MAN,TGS 26.430 BL 6x4 HDS HMF 1920 K3 żuraw kran żuraw samochodowy crane,215 250 EUR,Krzeszowice,Małopolskie,2022,2 km,2022,Diesel
Volvo,,301 350 PLN,Przywodzie,Zachodniopomorskie,2017,61 300 km,2017,Diesel
MAN,TGA 18.440 Euro 5 Automat,42 900 PLN,Człopa,Zachodniopomorskie,2007,1 340 000 km,Diesel,10 518 cm3
DAF,XF460,65 805 PLN,Ostrołęka,Mazowieckie,2012,1 293 000 km,Diesel,12 902 cm3
MAN,LE 180C,16 900 PLN,Lublin,Lubelskie,2002,501 943 km,2002,Diesel
Iveco,STRALIS 460 KM automat / standart / kompresor DRUM,96 500 PLN,Pawłów,Świętokrzyskie,2014,576 000 km,Diesel,11 120 cm3
MAN,TGX,81 500 PLN,Łuków,Lubelskie,2014,867 279 km,Diesel,13 000 cm3
MAN,TGX,98 000 PLN,Nowy Dwór Mazowiecki,Mazowieckie,2013,984 330 km,Diesel,10 518 cm3
Scania,"R450 E.6 NAVIGACJA,RETARDER,XENON,SALON PL!",392 000 PLN,Daleszyce,Świętokrzyskie,2020,270 000 km,Diesel,12 742 cm3
DAF,LF 45.220,245 877 PLN,Ropczyce,Podkarpackie,2014,133 000 km,2014,Diesel
MAN,TGM 26.330,136 407 PLN,Ropczyce,Podkarpackie,2009,350 000 km,2009,Diesel
Iveco,AS 440 S46 S-Way T/P - LNG,504 300 PLN,Pietrzykowice,Dolnośląskie,2021,161 030 km,LNG,12 900 cm3
MAN,TGA 26.360,121 770 PLN,Krosno Odrzańskie,Lubuskie,2007,359 000 km,Diesel,10 500 cm3
Scania,P270,76 260 PLN,Jabłonowo,Mazowieckie,2006,1 755 120 km,2006,Diesel
