Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Iveco,35S16V Maxi Długi Super Stan Gwarancja do 3 lat !,99 500 PLN,Nadarzyn,Mazowieckie,2020,93 033 km,Diesel,2 287 cm3
Ford,Transit courier,46 900 PLN,Sokołów,Mazowieckie,2018,145 000 km,Diesel,1 500 cm3
Volkswagen,"Transporter T6 .1, LONG",116 850 PLN,Smardzew,Łódzkie,2021,11 030 km,Diesel,1 968 cm3
Renault,Master,157 932 PLN,Rzeszów,Podkarpackie,2023,5 km,Diesel,2 299 cm3
Opel,Movano,99 900 PLN,Okaliniec,Wielkopolskie,2017,168 700 km,Diesel,2 300 cm3
Volkswagen,"Crafter  140 KM 2,0 TDI Zabudowa ! Polski salon!  Stan idealny!",105 780 PLN,Łódź,Łódzkie,2018,142 847 km,Diesel,1 968 cm3
Fiat,Ducato,63 500 PLN,Skawina,Małopolskie,2015,231 000 km,Diesel,2 287 cm3
Renault,Master,58 900 PLN,Mrągowo,Warmińsko-mazurskie,2015,239 000 km,Diesel,229 cm3
Opel,VIVARO,25 900 PLN,Lechów,Świętokrzyskie,2008,280 000 km,Diesel,2 464 cm3
Peugeot,BOXER,227 550 PLN,Stargard Szczeciński,Zachodniopomorskie,2020,34 000 km,Diesel,2 200 cm3
Renault,Trafic,109 900 PLN,Okaliniec,Wielkopolskie,2022,10 400 km,Diesel,2 000 cm3
Renault,Master,28 290 PLN,Lubliniec,Śląskie,2015,881 892 km,Diesel,2 299 cm3
Mercedes-Benz,Sprinter V6 319 CDI,547 350 PLN,Leszno,Wielkopolskie,2021,10 km,2021,Diesel
Renault,Master L3H2 135KM OD RĘKI,155 902 PLN,Mysłowice,Śląskie,2023,1 km,Diesel,2 299 cm3
Fiat,Ducato,76 000 PLN,Warszawa,Mazowieckie,2018,214 000 km,Diesel,2 287 cm3
Peugeot,BOXER 2.0 HDI 193KM * KLIMA * 9 osób * Salon PL * SUPER STAN!,84 900 PLN,Kielce,Świętokrzyskie,2018,220 000 km,Diesel,2 000 cm3
Citroën,Jumper L2H2 140KM,157 315 PLN,Chorzów,Śląskie,2022,1 km,Diesel,2 179 cm3
Fiat,Ducato,144 844 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,2 184 cm3
Citroën,JUMPER,30 750 PLN,Chodzież,Wielkopolskie,2010,350 000 km,2010,Diesel
Ford,transit,190 035 PLN,Rybnik,Śląskie,2023,5 km,Diesel,1 996 cm3
Renault,Maxity,38 000 PLN,Głogów,Dolnośląskie,2008,170 000 km,2008,Diesel
Iveco,Daily Brygadówka 7 Osób Klima Elektryka,59 800 PLN,Mirsk,Dolnośląskie,2012,167 800 km,Diesel,2 300 cm3
Ford,transit custom,144 900 PLN,Wejherowo,Pomorskie,2022,14 000 km,Diesel,2 000 cm3
Fiat,Ducato,36 900 PLN,Bielsk Podlaski,Podlaskie,2013,149 000 km,Diesel,1 956 cm3
Volkswagen,Crafter,238 005 PLN,Poznań,Wielkopolskie,2023,1 km,Diesel,1 968 cm3
Ford,Transit Connect,57 999 PLN,Tarnowskie Góry,Śląskie,2018,170 000 km,Diesel,1 499 cm3
Fiat,DUCATO,29 500 PLN,Bielsko-Biała,Śląskie,2011,243 042 km,Diesel,2 200 cm3
Peugeot,Boxer L3H2 165KM,149 074 PLN,Chorzów,Śląskie,2023,1 km,Diesel,2 179 cm3
Renault,Master,84 000 PLN,Chmielnik,Świętokrzyskie,2021,13 338 km,Diesel,2 299 cm3
Volkswagen,California Ocean,360 890 PLN,Gliwice,Śląskie,2023,5 km,Diesel,1 968 cm3
Peugeot,Partner 3 miejsca BENZYNA,42 500 PLN,Kraków,Małopolskie,2017,28 000 km,Benzyna,1 598 cm3
Citroën,Jumper,167 895 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,2 179 cm3
Opel,Vivaro,222 300 PLN,Warszawa,Mazowieckie,2022,1 km,2022,Elektryczny
Citroën,JUMPER,285 000 PLN,Nowy Tomyśl,Wielkopolskie,2021,13 500 km,Diesel,2 179 cm3
Citroën,Jumpy,38 130 PLN,Pruszków,Mazowieckie,2018,245 225 km,Diesel,1 997 cm3
Toyota,Proace City,136 310 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,1 499 cm3
Ford,TRANZIT CONNECT L2H1,49 077 PLN,Lipno,Kujawsko-pomorskie,2015,128 000 km,Diesel,1 560 cm3
Renault,Kangoo,29 900 PLN,Grudziądz,Kujawsko-pomorskie,2017,222 000 km,Diesel,1 461 cm3
Opel,NOWE Movano,146 654 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,2 179 cm3
Ford,Transit,144 999 PLN,Kraków,Małopolskie,2019,90 185 km,Diesel,1 995 cm3
